undefinedundefinedDate,Fermenter Sample ID,Fermenter Sample %Solids,Fermenter Sample HPLC Ethanol
2012-01-07 21:30,BW,0,13.43
2012-01-08 1:50,DROP,11.22,13.68
2012-01-08 1:55,10H,29.89,2.01
2012-01-08 5:40,Fill,33.16,0.21
2012-01-08 5:50,YP Drop,22.28,1.62
2012-01-08 9:15,45H,12.04,13.45
2012-01-08 9:55,18H,23.49,6.43
2012-01-08 10:00,32H,15.72,11.71
2012-01-08 11:30,BW,0,13.55
2012-01-08 15:30,DROP,11.23,13.76
2012-01-08 15:40,10H,29.01,2.21
2012-01-08 19:00,Fill,33.51,0.2
2012-01-08 19:40,YP Drop,21.36,1.65
2012-01-08 23:00,45H,12.67,13.67
2012-01-08 23:40,18H,22.67,6.69
2012-01-08 23:55,32H,15.97,11.01
2012-01-09 1:45,BW,0,13.42
2012-01-09 4:25,BW,0,13.51
2012-01-09 4:55,DROP,11.82,13.66
2012-01-09 5:28,10H,30.37,1.94
2012-01-09 9:21,Fill,32.92,0.2
2012-01-09 9:30,YP Drop,21.15,1.45
2012-01-09 12:55,45H,12.06,13.24
2012-01-09 13:28,18H,23.34,6.51
2012-01-09 13:40,32H,14.86,11.49
2012-01-09 18:55,DROP,11.37,13.48
2012-01-09 19:21,10H,27.8,2.75
2012-01-09 23:10,Fill,32.93,0.21
2012-01-09 23:25,YP Drop,22.42,0.84
2012-01-10 2:40,45H,12.01,13.58
2012-01-10 3:21,18H,22.32,6.9
2012-01-10 3:28,32H,15.76,11.08
2012-01-10 5:00,BW,0,13.43
2012-01-10 8:33,DROP,12.07,13.65
2012-01-10 9:15,10H,30.46,1.81
2012-01-10 12:59,Fill,33.3,0.2
2012-01-10 16:28,45H,12.4,13.34
2012-01-10 17:15,18H,24.31,6.08
2012-01-10 17:21,32H,13.85,11.88
2012-01-10 18:30,BW,0,13.6
2012-01-10 22:10,DROP,11.44,13.66
2012-01-10 22:49,10H,30.39,1.97
2012-01-11 2:35,Fill,32.53,0.21
2012-01-11 2:45,YP Drop,21.41,1.84
2012-01-11 6:21,45H,12.16,13.69
2012-01-11 6:49,18H,22.38,6.7
2012-01-11 7:15,32H,16.28,11
2012-01-11 7:45,BW,0,13.5
2012-01-11 12:10,DROP,10.96,13.44
2012-01-11 12:35,10H,28.05,2.03
2012-01-11 16:25,Fill,33.14,0.2
2012-01-11 20:15,45H,12.97,13.42
2012-01-11 20:35,18H,23.36,6.75
2012-01-11 20:49,32H,15.21,11.77
2012-01-11 21:30,BW,0,13.44
2012-01-12 1:52,DROP,12,13.66
2012-01-12 2:15,10H,29.55,2.39
2012-01-12 5:50,Fill,33.63,0.16
2012-01-12 9:49,45H,11.96,13.64
2012-01-12 10:15,18H,22.76,6.46
2012-01-12 10:35,32H,15.66,11.3
2012-01-12 11:15,BW,0,13.56
2012-01-12 15:35,DROP,10.93,13.58
2012-01-12 15:58,10H,28.43,2.72
2012-01-12 19:55,Fill,33.62,0.19
2012-01-12 23:35,45H,11.86,13.6
2012-01-12 23:58,18H,23.39,7.2
2012-01-13 0:00,Fill,33.03,0.2
2012-01-13 0:15,32H,15.89,11.52
2012-01-13 5:05,DROP,11.06,13.83
2012-01-13 5:45,10H,30.38,2.13
2012-01-13 9:35,YP Drop,21.12,1.94
2012-01-13 13:15,45H,0,0
2012-01-13 13:45,18H,0,0
2012-01-13 13:58,32H,0,0
2012-01-13 19:25,10H,39.03,2.61
2012-01-13 22:00,BW,0,13.15
2012-01-14 1:40,DROP,11.78,13.79
2012-01-14 2:58,45H,13.17,13.44
2012-01-14 3:25,18H,26.5,4.58
2012-01-14 3:45,32H,15.41,11.9
2012-01-14 6:10,Fill,33.28,0.18
2012-01-14 6:15,YP Drop,20.64,1.61
2012-01-14 12:35,BW,0,13.27
2012-01-14 15:10,DROP,12.07,13.53
2012-01-14 16:10,10H,29.98,2.16
2012-01-14 16:45,45H,9.87,13.26
2012-01-14 17:25,32H,17.74,9.05
2012-01-14 20:10,YP Drop,21.19,1.48
2012-01-14 20:40,Fill,33.08,0.16
2012-01-15 0:00,Fill,0,0.26
2012-01-15 0:10,18H,22.96,0
2012-01-15 4:00,BW,0,0
2012-01-15 6:00,10H,27.96,3.01
2012-01-15 6:25,45H,13.65,11.85
2012-01-15 7:20,DROP,11.57,13.43
2012-01-15 14:00,18H,23.19,6.5
2012-01-15 14:10,32H,14.41,12.1
2012-01-15 16:15,YP Drop,15.45,5.12
2012-01-16 0:51,BW,0,13.23
2012-01-16 2:05,10H,27.84,2.79
2012-01-16 3:10,45H,11.73,13.38
2012-01-16 4:00,32H,14.64,11.53
2012-01-16 5:08,DROP,11.05,13.67
2012-01-16 9:10,Fill,32.98,0.34
2012-01-16 9:30,YP Drop,20.19,1.82
2012-01-16 10:05,18H,24.55,5.5
2012-01-16 15:20,BW,0,13.41
2012-01-16 17:00,45H,14.09,12.29
2012-01-16 19:20,10H,29.48,2.43
2012-01-17 0:05,32H,18.05,9.99
2012-01-17 3:20,18H,22.17,7.19
2012-01-17 6:40,DROP,12.75,13.59
2012-01-17 10:55,YP Drop,15.14,5.44
2012-01-17 11:00,Fill,31.6,0.43
2012-01-17 13:05,45H,13.32,12.52
2012-01-17 17:20,32H,19.72,8.55
2012-01-17 18:30,BW,0,12.69
2012-01-17 20:45,10H,27.38,3.5
2012-01-17 22:05,DROP,11.07,13.53
2012-01-18 2:30,Fill,32.31,0.2
2012-01-18 4:45,18H,23.59,6.29
2012-01-18 6:20,45H,15.1,11.19
2012-01-18 8:45,BW,0,13.05
2012-01-18 12:20,10H,28.85,2.49
2012-01-18 13:00,DROP,11.06,13.81
2012-01-18 16:00,Fill,32.23,0.16
2012-01-18 16:35,YP Drop,20.67,1.89
2012-01-18 18:45,32H,16.05,11.08
2012-01-18 20:20,18H,23.34,6.84
2012-01-18 23:10,BW,0,13.46
2012-01-19 2:25,10H,29.74,1.92
2012-01-19 3:05,DROP,12.64,13.29
2012-01-19 6:37,Fill,32.88,0.2
2012-01-19 7:45,45H,12.18,13.6
2012-01-19 10:20,32H,14.58,11.33
2012-01-19 10:25,18H,28.28,6.87
2012-01-19 14:11,BW,0,13.36
2012-01-19 16:27,10H,29.4,2.22
2012-01-19 17:25,DROP,11.86,13.79
2012-01-19 20:30,Fill,33.03,0.2
2012-01-19 20:45,YP Drop,21.87,1.68
2012-01-19 23:00,Fill,32.67,0.17
2012-01-19 23:20,45H,12.61,13.24
2012-01-20 0:25,32H,13.66,11.95
2012-01-20 0:27,18H,22.09,6.84
2012-01-20 3:50,BW,0,13.45
2012-01-20 6:40,DROP,11.09,13.33
2012-01-20 10:45,Fill,33.21,0.17
2012-01-20 10:55,YP Drop,22.07,1.52
2012-01-20 13:25,45H,12.76,13.17
2012-01-20 14:27,32H,15.25,11.39
2012-01-20 14:40,18H,23.81,6.66
2012-01-20 17:35,BW,0,13.16
2012-01-20 20:45,10H,29.98,2.41
2012-01-20 21:30,DROP,12.43,13.16
2012-01-21 1:10,YP Drop,20.45,1.84
2012-01-21 1:15,Fill,32.82,0.19
2012-01-21 3:27,45H,11.43,13.22
2012-01-21 4:40,32H,14.71,11.87
2012-01-21 4:45,Fill,33.07,0.18
2012-01-21 7:30,BW,0,13.1
2012-01-21 11:00,10H,30.23,1.93
2012-01-21 11:30,DROP,11.55,13.32
2012-01-21 15:00,YP Drop,21.98,1.73
2012-01-21 17:40,45H,12.53,13.49
2012-01-21 18:45,32H,16.5,11.12
2012-01-21 19:00,18H,22.87,6.77
2012-01-21 21:30,BW,0,13.14
2012-01-22 1:00,10H,29.98,2.41
2012-01-22 4:45,Fill,32.48,0.18
2012-01-22 5:00,YP Drop,20.87,1.75
2012-01-22 7:45,45H,12.58,13.25
2012-01-22 9:00,18H,22.82,6.41
2012-01-22 11:25,BW,0,13.29
2012-01-22 14:50,10H,29.2,2.43
2012-01-22 18:30,Fill,33.97,0.2
2012-01-22 19:05,YP Drop,20.9,2.25
2012-01-22 22:00,45H,12.85,13.36
2012-01-22 22:50,18H,23.79,6.69
2012-01-22 23:00,32H,16.21,11.12
2012-01-23 0:25,BW,0,13.23
2012-01-23 4:55,DROP,12.11,13.45
2012-01-23 5:00,10H,29.61,2.54
2012-01-23 9:00,Fill,33.73,0.19
2012-01-23 12:00,45H,13.13,13.31
2012-01-23 12:50,32H,16,11.4
2012-01-23 13:00,18H,24.23,6.3
2012-01-23 14:05,BW,0,13.18
2012-01-23 19:10,10H,28.42,2.65
2012-01-23 19:35,DROP,11.35,13.42
2012-01-23 22:43,Fill,33.21,0.19
2012-01-23 22:55,YP Drop,21.34,1.58
2012-01-24 1:50,45H,12.12,13.46
2012-01-24 3:00,32H,16.46,11.04
2012-01-24 3:10,18H,23.07,7.13
2012-01-24 4:45,BW,0,13.25
2012-01-24 8:53,10H,29.57,2.14
2012-01-24 9:05,DROP,12.85,13.51
2012-01-24 16:00,45H,12.98,13.39
2012-01-24 16:53,18H,22.99,6.17
2012-01-24 17:10,32H,14.54,11.94
2012-01-24 18:30,BW,0,13.37
2012-01-24 22:38,Fill,31.89,0.21
2012-01-24 22:52,DROP,13,13.6
2012-01-24 23:30,10H,29.72,2.33
2012-01-25 3:28,Fill,32.95,0.17
2012-01-25 6:10,45H,12.14,13.38
2012-01-25 6:53,32H,15.73,11.27
2012-01-25 7:30,18H,23.13,6.54
2012-01-25 12:25,DROP,11.61,13.33
2012-01-25 13:28,10H,29.33,2.34
2012-01-25 17:00,Fill,33.35,0.19
2012-01-25 17:22,YP Drop,20.62,1.72
2012-01-25 19:53,45H,12.63,13.31
2012-01-25 21:28,18H,23.47,6.53
2012-01-25 21:30,32H,14.86,11.64
2012-01-25 22:15,BW,0,13.2
2012-01-26 2:20,DROP,12.17,13.38
2012-01-26 3:12,10H,30.09,1.98
2012-01-26 6:55,YP Drop,21.53,1.77
2012-01-26 7:00,Fill,33.53,0.16
2012-01-26 10:30,45H,12.57,13.34
2012-01-26 11:12,18H,23.18,6.56
2012-01-26 11:28,32H,16.53,11.01
2012-01-26 11:40,BW,0,13.07
2012-01-26 16:20,DROP,12.53,13.41
2012-01-26 16:45,10H,30.16,2.03
2012-01-26 20:15,Fill,33.02,0.19
2012-01-26 20:40,YP Drop,21.83,1.35
2012-01-27 0:28,45H,12.07,13.22
2012-01-27 0:45,18H,22.95,6.43
2012-01-27 1:12,32H,15.79,11.38
2012-01-27 1:15,BW,0,13.16
2012-01-27 5:30,DROP,12.25,13.36
2012-01-27 6:30,10H,29.44,2.43
2012-01-27 10:00,Fill,33.44,0.19
2012-01-27 10:20,YP Drop,21.81,1.54
2012-01-27 14:12,45H,12.1,13.32
2012-01-27 14:30,18H,23.07,6.57
2012-01-27 14:45,32H,15.56,11.12
2012-01-27 15:05,BW,0,13.15
2012-01-27 19:40,DROP,12.19,13.39
2012-01-27 20:10,10H,28.47,2.77
2012-01-27 23:50,Fill,33.39,0.19
2012-01-28 0:10,YP Drop,21.21,1.84
2012-01-28 3:45,45H,12.95,13.33
2012-01-28 4:10,18H,22.7,6.77
2012-01-28 4:30,32H,14.81,11.59
2012-01-28 5:01,BW,0,13.16
2012-01-28 9:18,DROP,12.52,13.24
2012-01-28 10:00,10H,29.92,1.96
2012-01-28 13:35,Fill,32.94,0.19
2012-01-28 13:45,YP Drop,20.82,1.46
2012-01-28 17:30,45H,12.28,13.38
2012-01-28 18:00,18H,23.6,6.53
2012-01-28 18:10,32H,14.75,11.21
2012-01-28 18:20,BW,0,13.16
2012-01-28 22:45,DROP,12.49,13.45
2012-01-28 23:35,10H,30.42,2
2012-01-29 0:00,BW,0,13.28
2012-01-29 3:15,Fill,33.21,0.2
2012-01-29 3:25,YP Drop,21.52,1.63
2012-01-29 7:10,45H,11.77,13.38
2012-01-29 7:35,18H,22.8,6.6
2012-01-29 8:00,32H,14.82,11.69
2012-01-29 8:01,BW,0,13.2
2012-01-29 12:22,DROP,12.49,13.38
2012-01-29 13:15,10H,28.96,2.27
2012-01-29 16:46,Fill,32.82,0.19
2012-01-29 16:55,YP Drop,21.94,1.41
2012-01-29 21:00,45H,11.92,13.48
2012-01-29 21:15,18H,21.68,6.63
2012-01-29 21:35,32H,15.29,11.16
2012-01-30 2:10,DROP,12.49,13.44
2012-01-30 2:46,10H,29.42,2.41
2012-01-30 6:20,Fill,33.23,0.19
2012-01-30 6:30,YP Drop,21.62,1.7
2012-01-30 10:35,45H,12.6,13.38
2012-01-30 10:46,18H,22.96,6.59
2012-01-30 11:15,32H,16.15,12.02
2012-01-30 11:30,BW,0,13.25
2012-01-30 15:35,DROP,11.7,13.54
2012-01-30 16:20,10H,30.54,2.23
2012-01-30 20:10,YP Drop,21.34,0
2012-01-30 20:20,Fill,32.88,0.19
2012-01-31 0:15,45H,11.61,13.47
2012-01-31 0:20,18H,21.52,7.19
2012-01-31 0:46,32H,15.99,11.24
2012-01-31 1:15,BW,0,13.33
2012-01-31 5:20,DROP,11.67,13.54
2012-01-31 6:00,10H,29.81,2.32
2012-01-31 10:00,Fill,32.31,0.24
2012-01-31 10:10,YP Drop,21.47,1.73
2012-01-31 10:50,BW,0,13.24
2012-01-31 13:46,45H,11.8,13.29
2012-01-31 14:00,18H,22.95,6.57
2012-01-31 14:20,32H,15.13,11.83
2012-01-31 15:30,BW,0,13.33
2012-01-31 18:55,DROP,11.08,13.41
2012-01-31 20:00,10H,28.96,2.52
2012-01-31 23:40,Fill,32.39,0.23
2012-01-31 23:55,YP Drop,21.29,1.9
2012-02-01 0:00,BW,0,13.15
2012-02-01 3:20,45H,11.65,13.27
2012-02-01 4:00,32H,15.81,11.02
2012-02-01 8:00,BW,0,13.33
2012-02-01 8:30,DROP,12.05,13.35
2012-02-01 9:45,10H,29.12,2.3
2012-02-01 13:20,Fill,32.49,0.22
2012-02-01 13:30,YP Drop,21.53,1.5
2012-02-01 17:00,45H,12.98,13.05
2012-02-01 17:45,18H,22.64,6.43
2012-02-01 18:00,32H,22.64,11.36
2012-02-01 22:13,DROP,11.9,13.35
2012-02-01 23:20,10H,31.1,1.8
2012-02-02 0:00,BW,0,13.37
2012-02-02 2:48,YP Drop,21.41,1.38
2012-02-02 5:29,YP Drop,21.01,1.61
2012-02-02 7:00,45H,12.22,13.55
2012-02-02 7:20,18H,23.33,6.32
2012-02-02 7:40,BW,0,13.17
2012-02-02 7:45,32H,16.76,11.01
2012-02-02 12:05,DROP,12.15,13.56
2012-02-02 12:38,10H,30,1.95
2012-02-02 16:15,Fill,32.7,0.17
2012-02-02 18:40,DROP,11.87,13.55
2012-02-02 20:38,18H,32.21,6.56
2012-02-02 20:45,45H,11.8,13.19
2012-02-02 21:20,32H,15.24,11.45
2012-02-03 1:31,DROP,11.8,13.32
2012-02-03 2:05,10H,20.15,2.03
2012-02-03 5:22,Fill,32.81,0.18
2012-02-03 10:05,18H,23.1,6.7
2012-02-03 10:20,45H,11.53,13.37
2012-02-03 10:38,32H,15.69,11.28
2012-02-03 15:27,DROP,11.2,13.27
2012-02-03 15:34,10H,30.06,2.29
2012-02-03 19:00,Fill,32.62,0.18
2012-02-03 19:20,YP Drop,21.48,1.45
2012-02-03 23:34,18H,23.95,6.51
2012-02-03 23:38,45H,12,13.25
2012-02-04 0:05,32H,15.65,11.43
2012-02-04 0:10,BW,0,13.09
2012-02-04 4:55,DROP,11.16,13.32
2012-02-04 5:10,10H,30.37,2.02
2012-02-04 8:45,YP Drop,0,1.68
2012-02-04 9:00,Fill,32.78,0.18
2012-02-04 13:05,45H,11.51,13.48
2012-02-04 13:10,18H,22.18,6.66
2012-02-04 13:34,32H,13.72,11.16
2012-02-04 18:30,DROP,11.2,13.39
2012-02-04 18:40,10H,29.82,2.07
2012-02-04 22:25,Fill,33.15,0.18
2012-02-05 2:34,45H,12.27,13.34
2012-02-05 2:40,18H,23.71,6.47
2012-02-05 3:10,32H,15.56,11.25
2012-02-05 8:00,DROP,12.14,13.49
2012-02-05 8:15,10H,30.12,2.14
2012-02-05 11:45,YP Drop,22.09,1.52
2012-02-05 16:10,45H,11.44,13.39
2012-02-05 16:15,18H,24.68,6.33
2012-02-05 16:40,32H,15.09,11.04
2012-02-05 17:30,BW,0,13.17
2012-02-05 21:30,DROP,10.81,13.37
2012-02-05 21:35,10H,30.06,2.27
2012-02-06 0:00,BW,0,13.26
2012-02-06 1:00,Fill,33.23,1.55
2012-02-06 1:10,YP Drop,21.31,1.48
2012-02-06 5:35,18H,23.78,6.35
2012-02-06 5:40,45H,12.42,13.37
2012-02-06 6:15,32H,15.85,11.29
2012-02-06 6:51,BW,0,13.13
2012-02-06 11:00,10H,29.19,2.25
2012-02-06 11:20,DROP,11.66,13.38
2012-02-06 14:50,Fill,32.58,0.21
2012-02-06 15:00,YP Drop,21.59,1.28
2012-02-06 19:00,18H,22.85,6.39
2012-02-06 19:15,45H,11.3,13.42
2012-02-06 19:35,32H,16.02,11.02
2012-02-07 0:00,BW,0,13.32
2012-02-07 0:45,DROP,11.8,13.56
2012-02-07 0:50,10H,30.37,1.85
2012-02-07 4:30,Fill,32.52,0.18
2012-02-07 8:35,45H,10.4,13.26
2012-02-07 8:50,18H,22.96,6.43
2012-02-07 9:00,32H,15.17,11.42
2012-02-07 10:00,BW,0,13.32
2012-02-07 14:30,10H,30.37,2.1
2012-02-07 14:34,DROP,12.98,13.56
2012-02-07 18:10,Fill,32.97,0.22
2012-02-07 18:25,YP Drop,20.8,1.84
2012-02-07 22:00,45H,12.1,13.53
2012-02-07 22:30,18H,23.47,6.54
2012-02-07 22:50,32H,16.46,10.98
2012-02-08 4:05,DROP,11.62,13.56
2012-02-08 4:10,10H,29.54,2.22
2012-02-08 7:35,Fill,33.47,0.19
2012-02-08 7:45,YP Drop,22.16,1.4
2012-02-08 11:50,45H,12.06,13.31
2012-02-08 12:10,18H,23.36,6.42
2012-02-08 12:30,32H,15.17,11.5
2012-02-08 13:35,BW,0,13.35
2012-02-08 17:40,DROP,11.75,13.51
2012-02-08 17:45,10H,30.76,1.86
2012-02-08 21:20,Fill,33.45,0.2
2012-02-09 1:30,45H,11.05,13.62
2012-02-09 1:45,18H,24.07,6.64
2012-02-09 2:10,32H,16.65,11.03
2012-02-09 3:20,BW,0,13.4
2012-02-09 7:20,10H,30.58,1.96
2012-02-09 7:25,DROP,11.18,13.65
2012-02-09 10:55,Fill,33.33,0.17
2012-02-09 15:10,45H,12.52,13.38
2012-02-09 15:20,18H,23.45,5.95
2012-02-09 15:45,32H,15.69,11.44
2012-02-09 16:30,BW,0,13.38
2012-02-09 20:45,10H,30.99,2.05
2012-02-09 20:49,DROP,12.21,13.57
2012-02-10 0:50,Fill,33.19,0.2
2012-02-10 4:45,18H,25.29,5.92
2012-02-10 5:20,32H,17.77,10.45
2012-02-10 7:00,BW,0,13.43
2012-02-10 10:35,DROP,11.8,13.68
2012-02-10 10:39,10H,30.38,2.17
2012-02-10 14:10,Fill,33.41,0.19
2012-02-10 14:30,YP Drop,22.16,1.52
2012-02-10 18:20,45H,12.86,12.94
2012-02-10 18:39,18H,24.88,6.55
2012-02-10 18:45,32H,16.78,11.21
2012-02-11 0:00,DROP,11.91,13.54
2012-02-11 0:20,10H,28.02,3.24
2012-02-11 7:45,45H,12.44,13.23
2012-02-11 8:20,18H,26.82,4.33
2012-02-11 8:39,32H,16.89,10.54
2012-02-11 9:20,Fill,32.6,0.23
2012-02-11 14:50,BW,0,13.28
2012-02-11 18:10,DROP,12.81,13.6
2012-02-11 19:40,10H,30.5,1.8
2012-02-11 21:39,45H,14.15,12.96
2012-02-11 22:20,32H,18.97,9.65
2012-02-11 23:10,Fill,33.23,0.18
2012-02-11 23:15,YP Drop,21.88,1.23
2012-02-12 0:00,Fill,33.66,0.17
2012-02-12 3:40,18H,22.88,5.18
2012-02-12 3:53,BW,0,13.38
2012-02-12 8:10,DROP,12.65,13.49
2012-02-12 9:11,10H,31.45,1.83
2012-02-12 11:20,45H,14.17,12.21
2012-02-12 17:11,18H,24.64,5.93
2012-02-12 17:40,32H,15.83,10.94
2012-02-12 17:56,BW,0,13.32
2012-02-12 21:30,DROP,11.83,13.38
2012-02-12 22:40,10H,30.09,2.75
2012-02-13 2:09,Fill,34.23,0.19
2012-02-13 2:19,YP Drop,21.84,1.55
2012-02-13 6:40,18H,24.94,6.33
2012-02-13 7:11,32H,16.28,11.09
2012-02-13 7:50,BW,0,13.48
2012-02-13 12:09,10H,30.6,2.27
2012-02-13 12:15,DROP,12.26,13.36
2012-02-13 15:55,YP Drop,21.87,1.53
2012-02-13 16:10,Fill,33.19,0.21
2012-02-13 20:09,18H,23.78,6.6
2012-02-13 20:11,45H,13.07,13.25
2012-02-13 20:40,32H,17.58,10.7
2012-02-13 21:20,BW,0,13.31
2012-02-14 1:40,10H,30.62,1.96
2012-02-14 1:45,DROP,12.67,13.48
2012-02-14 5:35,Fill,33.4,0.18
2012-02-14 5:45,YP Drop,22.36,1.61
2012-02-14 9:40,18H,22.89,6.78
2012-02-14 10:09,32H,14.71,11.88
2012-02-14 11:25,BW,0,13.36
2012-02-14 15:25,DROP,12.99,13.55
2012-02-14 15:35,10H,28.8,2.71
2012-02-14 19:20,YP Drop,22.11,1.74
2012-02-14 19:25,Fill,32.77,0.2
2012-02-14 21:20,18H,21.9,6.41
2012-02-14 23:09,45H,12.86,13.52
2012-02-14 23:35,18H,23.89,6.78
2012-02-14 23:40,32H,17.29,11.01
2012-02-15 1:00,BW,0,13.33
2012-02-15 5:05,DROP,12.2,13.6
2012-02-15 5:30,10H,29.78,2.35
2012-02-15 7:30,BW,0,13.5
2012-02-15 9:17,Fill,33.25,0.2
2012-02-15 9:27,YP Drop,21.41,1.34
2012-02-15 12:40,45H,13.07,13.35
2012-02-15 13:30,18H,23.35,0.3
2012-02-15 13:35,32H,14.65,11.72
2012-02-15 15:15,BW,0,13.37
2012-02-15 18:45,DROP,12.61,13.59
2012-02-15 19:17,10H,29.45,1.89
2012-02-15 23:10,Fill,33.2,0.17
2012-02-15 23:15,YP Drop,21.51,1.81
2012-02-16 2:35,45H,12.2,13.48
2012-02-16 3:17,18H,23.27,6.47
2012-02-16 3:30,32H,17.18,10.98
2012-02-16 4:25,BW,0,13.33
2012-02-16 8:40,DROP,12.61,13.44
2012-02-16 9:10,10H,30.01,1.97
2012-02-16 13:00,Fill,32.89,0.17
2012-02-16 13:05,YP Drop,22.76,1.06
2012-02-16 16:30,45H,12.46,13.27
2012-02-16 17:10,18H,24.06,6.39
2012-02-16 17:17,32H,16.67,11.5
2012-02-16 18:10,BW,0,13.18
2012-02-16 22:20,DROP,11.7,13.49
2012-02-16 22:55,10H,29.9,2.31
2012-02-17 2:35,Fill,33.24,0.2
2012-02-17 6:17,45H,12,13.41
2012-02-17 6:55,18H,22.15,6.58
2012-02-17 7:10,32H,15.85,11.18
2012-02-17 8:40,BW,0,13.2
2012-02-17 12:20,10H,28.51,2.04
2012-02-17 12:40,DROP,11.62,13.48
2012-02-17 16:20,Fill,32.15,0.17
2012-02-17 20:10,45H,11.64,13.42
2012-02-17 20:20,18H,22.54,6.69
2012-02-17 20:55,32H,16.16,11.59
2012-02-17 22:00,BW,0,13.28
2012-02-18 1:50,DROP,11.81,13.51
2012-02-18 2:08,10H,30.63,2
2012-02-18 5:30,Fill,33.39,0.2
2012-02-18 9:55,45H,12.7,13.43
2012-02-18 10:08,18H,23.53,6.61
2012-02-18 10:20,32H,16.33,11.14
2012-02-18 11:20,BW,0,13.27
2012-02-18 15:45,DROP,12.58,13.5
2012-02-18 15:50,10H,30.86,1.86
2012-02-18 19:15,Fill,32.99,0.17
2012-02-18 19:40,YP Drop,22.21,1.65
2012-02-18 23:20,45H,12.29,13.32
2012-02-18 23:50,18H,24.15,6.19
2012-02-19 0:08,32H,15.49,11.6
2012-02-19 1:10,BW,0,13.33
2012-02-19 5:20,DROP,12.25,13.38
2012-02-19 5:30,10H,30.51,2.13
2012-02-19 9:00,Fill,32.82,0.16
2012-02-19 9:05,YP Drop,21.73,1.47
2012-02-19 13:08,45H,12.31,13.34
2012-02-19 13:30,18H,23.56,6.42
2012-02-19 13:50,32H,16.49,11.01
2012-02-19 15:00,BW,0,13.03
2012-02-19 19:10,DROP,12.71,13.45
2012-02-19 19:15,10H,30.01,2.57
2012-02-19 23:08,YP Drop,21.04,1.49
2012-02-20 2:50,45H,12.91,13.37
2012-02-20 3:15,18H,23.84,6.3
2012-02-20 3:30,32H,16.16,11.6
2012-02-20 4:20,BW,0,13.23
2012-02-20 8:30,DROP,11.92,13.58
2012-02-20 9:08,10H,30.02,1.85
2012-02-20 12:50,Fill,33.25,0.18
2012-02-20 12:55,YP Drop,20.86,1.52
